true_label,pred_label_classifier,class_prob,mc_uncertainty,recon_error,is_correct,prediction_type
1,1,0.006073439,0.007940701,0.09854781,True,True Positive
1,1,0.013405982,0.024553424,0.11976865,True,True Positive
1,1,0.0021862248,0.0036892984,0.11894459,True,True Positive
1,1,0.03755673,0.059851717,0.27804318,True,True Positive
1,1,0.0019895195,0.0030670052,0.11751108,True,True Positive
1,0,0.0004733008,0.001117673,0.12887998,False,False Negative
1,1,0.12831034,0.1906194,0.16855054,True,True Positive
1,1,0.39873615,0.22305669,0.3927432,True,True Positive
1,1,0.015669817,0.033031117,0.088934876,True,True Positive
1,1,0.07701917,0.14153086,0.11175474,True,True Positive
1,1,0.19291304,0.24875653,0.12457723,True,True Positive
1,0,0.00041082033,0.0006012533,0.22428967,False,False Negative
1,1,0.051349588,0.13525051,0.14217733,True,True Positive
0,0,0.0008605581,0.0012929162,0.19116975,True,True Negative
0,0,0.0011665731,0.0014169904,0.15556362,True,True Negative
0,1,0.015830733,0.02290882,0.09790458,False,False Positive
0,0,0.0011843554,0.0020886313,0.14470607,True,True Negative
0,0,0.000930295,0.0008688481,0.1309597,True,True Negative
0,1,0.028002929,0.030746823,0.16106628,False,False Positive
0,1,0.005889416,0.007743525,0.15886909,False,False Positive
0,1,0.02850039,0.03449439,0.13416834,False,False Positive
0,1,0.0057878713,0.0166891,0.15470047,False,False Positive
0,1,0.07457845,0.08701678,0.34649798,False,False Positive
0,1,0.060264684,0.059854623,0.3057831,False,False Positive
0,1,0.14959988,0.22635028,0.14494911,False,False Positive
0,0,0.0017618159,0.0018720627,0.17312115,True,True Negative
